DAUID,Residential instability Scores,Ethno-cultural composition Scores,Economic dependency Scores,Situational vulnerability Scores
12010030,-0.447,-0.69,1.768,0.591
12010031,-0.262,-0.876,0.585,1.291
12010032,0.102,-0.738,1.123,-0.24
12010033,0.651,-0.793,0.622,0.373
12010034,-0.228,-0.825,0.681,1.314
12010035,-0.674,-0.769,1.195,0.358
12010036,-0.168,-0.974,0.893,0.35
12010037,0.183,-0.792,0.501,0.474
12010038,-0.471,-0.895,0.742,0.014
12010039,-0.542,-0.976,1.089,0.818
12010040,-0.54,-0.999,0.564,0.597
12010041,-0.509,-0.797,-0.045,1.181
12010042,-0.14,-0.956,0.512,-0.164
12010043,-0.26,-0.888,0.231,1.414
12010044,0.239,-0.92,0.963,0.694
12010045,-0.435,-0.949,-0.377,0.147
12010046,-0.536,-1.137,0.581,0.114
12010047,-0.661,-0.813,1.072,0.736
12010048,-0.488,-0.861,0.945,1.22
12010049,-0.374,-1.147,0.947,1.36
12010050,0.002,-0.988,0.175,1.086
12010051,-0.931,-0.878,-0.25,0.634
12010052,-0.551,-0.823,0.035,0.38
12010053,-0.722,-0.91,0.636,0.228
12010054,-0.411,-0.971,0.896,0.454
12010055,0.041,-1.054,2.364,0.285
12010056,-0.113,-1.053,1.755,-0.003
12020043,-0.355,-0.922,0.577,0.66
12020044,-0.649,-1.008,0.271,0.257
12020045,-0.538,-0.96,0.401,0.433
12020046,-0.759,-1.051,0.749,0.239
12020047,-0.64,-1.086,0.496,0.599
12020048,-0.504,-1.047,0.538,0.023
12020049,-0.741,-0.67,0.598,0.749
12020050,0.189,-1.034,-0.206,0.257
12020051,-0.25,-0.576,0.067,0.973
12020052,-0.09,-0.63,0.906,-0.151
12020053,0.509,-0.717,0.637,0.174
12020054,0.729,-0.624,0.473,0.701
12020055,0.584,-0.687,0.29,1.087
12020056,0.619,-0.264,1.077,0.963
12020057,1.103,-0.921,-0.386,1.041
12020058,2.073,-0.692,-0.345,1.995
12020059,1.054,-0.802,0.546,0.335
12020060,0.925,-0.71,1.89,1.391
12020061,1.408,-0.619,0.179,2.617
12020062,1.715,-0.585,1.41,2.076
12020063,1.113,-0.67,1.733,0.929
12020064,0.756,-0.681,1.839,1.217
12020065,-0.332,-0.704,0.575,0.645
12020066,0.005,-0.338,0.555,3.756
12020067,-0.214,-1.219,1.072,0.955
12020068,-0.542,-0.912,0.247,0.966
12020069,-0.65,-0.684,1.066,0.457
12020070,0.449,-0.815,1.046,0.004
12020071,-0.79,-1.258,-0.632,0.078
12020072,-0.819,-1.019,0.802,1.431
12020073,-1.278,-1.063,-0.727,0.504
12020074,-0.953,-0.971,1.097,1.015
12020075,-0.625,-0.955,1.544,1.378
12020076,-1.091,-0.825,1.009,0.691
12020077,-0.969,-0.993,0.153,0.816
12020078,-0.598,-1.006,0.162,0.867
12020079,-0.638,-1.027,-0.157,0.83
12020080,-0.361,-0.908,1.315,0.83
12020081,-0.881,-1.086,0.629,0.821
12020082,-0.584,-1.003,0.171,1.181
12020083,-0.653,-1.054,0.548,0.909
12020084,-0.97,-0.995,0.226,0.748
12020085,-1.088,-1.072,0.24,0.186
12020086,-0.784,-1.137,0.305,0.006
12020087,-0.853,-1.097,-0.072,0.666
