City,DAUID,DGUID,LANDAREA,PRUID
Lethbridge,48020060,2021S051248020060,0.1681,48
Lethbridge,48020061,2021S051248020061,0.221,48
Lethbridge,48020062,2021S051248020062,0.1383,48
Lethbridge,48020063,2021S051248020063,0.1528,48
Lethbridge,48020064,2021S051248020064,0.1655,48
Lethbridge,48020065,2021S051248020065,0.2408,48
Lethbridge,48020066,2021S051248020066,0.286,48
Lethbridge,48020067,2021S051248020067,0.1767,48
Lethbridge,48020068,2021S051248020068,0.352,48
Lethbridge,48020069,2021S051248020069,0.158,48
Lethbridge,48020070,2021S051248020070,0.1431,48
Lethbridge,48020071,2021S051248020071,0.1341,48
Lethbridge,48020072,2021S051248020072,0.1489,48
Lethbridge,48020073,2021S051248020073,0.1942,48
Lethbridge,48020074,2021S051248020074,0.2458,48
Lethbridge,48020075,2021S051248020075,0.0927,48
Lethbridge,48020076,2021S051248020076,0.1627,48
Lethbridge,48020077,2021S051248020077,0.2418,48
Lethbridge,48020078,2021S051248020078,0.1331,48
Lethbridge,48020080,2021S051248020080,0.205,48
Lethbridge,48020081,2021S051248020081,7.1954,48
Lethbridge,48020082,2021S051248020082,0.4646,48
Lethbridge,48020083,2021S051248020083,0.123,48
Lethbridge,48020084,2021S051248020084,0.1363,48
Lethbridge,48020085,2021S051248020085,0.2269,48
Lethbridge,48020086,2021S051248020086,0.1832,48
Lethbridge,48020087,2021S051248020087,0.1388,48
Lethbridge,48020088,2021S051248020088,3.3711,48
Lethbridge,48020089,2021S051248020089,3.6553,48
Lethbridge,48020090,2021S051248020090,0.2072,48
Lethbridge,48020091,2021S051248020091,0.5781,48
Lethbridge,48020092,2021S051248020092,0.2048,48
Lethbridge,48020093,2021S051248020093,0.2103,48
Lethbridge,48020094,2021S051248020094,0.2126,48
Lethbridge,48020095,2021S051248020095,0.2013,48
Lethbridge,48020096,2021S051248020096,0.1912,48
Lethbridge,48020097,2021S051248020097,0.1789,48
Lethbridge,48020098,2021S051248020098,0.173,48
Lethbridge,48020099,2021S051248020099,0.6346,48
Lethbridge,48020100,2021S051248020100,0.1166,48
Lethbridge,48020101,2021S051248020101,0.1672,48
Lethbridge,48020102,2021S051248020102,0.1659,48
Lethbridge,48020103,2021S051248020103,0.1702,48
Lethbridge,48020104,2021S051248020104,0.1374,48
Lethbridge,48020105,2021S051248020105,0.1528,48
Lethbridge,48020106,2021S051248020106,0.2182,48
Lethbridge,48020107,2021S051248020107,2.3802,48
Lethbridge,48020108,2021S051248020108,0.1946,48
Lethbridge,48020109,2021S051248020109,0.1834,48
Lethbridge,48020110,2021S051248020110,0.2369,48
Lethbridge,48020111,2021S051248020111,0.1872,48
Lethbridge,48020112,2021S051248020112,0.2014,48
Lethbridge,48020113,2021S051248020113,0.3053,48
Lethbridge,48020114,2021S051248020114,0.2313,48
Lethbridge,48020115,2021S051248020115,0.2591,48
Lethbridge,48020116,2021S051248020116,0.1839,48
Lethbridge,48020117,2021S051248020117,0.2021,48
Lethbridge,48020118,2021S051248020118,0.1929,48
Lethbridge,48020119,2021S051248020119,2.3531,48
Lethbridge,48020120,2021S051248020120,0.1835,48
Lethbridge,48020121,2021S051248020121,0.2666,48
Lethbridge,48020122,2021S051248020122,0.4022,48
Lethbridge,48020123,2021S051248020123,0.1879,48
Lethbridge,48020124,2021S051248020124,0.2742,48
Lethbridge,48020125,2021S051248020125,0.088,48
Lethbridge,48020126,2021S051248020126,0.2507,48
Lethbridge,48020127,2021S051248020127,0.1449,48
Lethbridge,48020128,2021S051248020128,0.2345,48
Lethbridge,48020129,2021S051248020129,0.1737,48
Lethbridge,48020130,2021S051248020130,0.1976,48
Lethbridge,48020131,2021S051248020131,0.2599,48
Lethbridge,48020132,2021S051248020132,0.35,48
Lethbridge,48020133,2021S051248020133,1.5143,48
Lethbridge,48020134,2021S051248020134,0.2024,48
