DAUID,Population,Population Density per Square Kilometre,Land Area in Square Kilometre
1201,13704,5.6,2462.58
12010030,427,0.4,1058.33
12010031,400,81.1,4.93
12010032,429,566.9,0.76
12010033,411,512.6,0.8
12010034,404,178.8,2.26
12010035,549,17.2,31.85
12010036,445,8.1,55.05
12010037,755,17.5,43.12
12010038,469,4,118.51
12010039,683,1.7,395.05
12010040,381,1.6,232.53
12010041,383,8.6,44.43
12010042,533,163.8,3.25
12010043,560,6.9,81.38
12010044,850,22.9,37.05
12010045,388,31.2,12.42
12010046,344,49,7.02
12010047,417,124.7,3.35
12010048,579,45.2,12.8
12010049,486,67.2,7.23
12010050,725,257.3,2.82
12010051,627,53.6,11.7
12010052,673,41.3,16.31
12010053,477,18.4,25.92
12010054,428,2.8,151.42
12010055,476,205.4,2.32
12010056,405,4.1,99.98
1202,24947,11.8,2121.64
12020043,781,4,193.45
12020044,743,11.1,66.9
12020045,717,8.9,80.27
12020046,571,23.3,24.51
12020047,537,29.5,18.18
12020048,622,40,15.54
12020049,628,45,13.95
12020050,620,177.8,3.49
12020051,609,116.1,5.24
12020052,519,1232.2,0.42
12020053,590,1322.6,0.45
12020054,583,377.9,1.54
12020055,552,284.2,1.94
12020056,438,2511.5,0.17
12020057,447,1725.9,0.26
12020058,466,1926.4,0.24
12020059,438,1794.3,0.24
12020060,355,1508.7,0.24
12020061,504,492.8,1.02
12020062,459,1232.5,0.37
12020063,537,485.5,1.11
12020064,508,306.9,1.66
12020065,693,29.1,23.84
12020066,181,579,0.31
12020067,549,21.4,25.7
12020068,469,35.7,13.12
12020069,656,37.7,17.4
12020070,433,479.6,0.9
12020071,414,111.1,3.73
12020072,865,25.9,33.37
12020073,358,20.1,17.82
12020074,605,40.9,14.79
12020075,426,185.6,2.29
12020076,414,25.4,16.31
12020077,289,28.5,10.13
12020078,835,22.5,37.09
12020079,623,14.7,42.28
12020080,480,15,31.96
12020081,479,6.1,78.61
12020082,517,22.6,22.86
12020083,607,0.5,1185.99
12020084,643,24.7,26.02
12020085,1085,88.1,12.32
12020086,584,28.1,20.78
12020087,518,9.8,52.82
1203,17062,6.8,2512.28
12030040,512,32,16.01
12030041,550,439.6,1.25
12030042,399,602.2,0.66
12030043,531,957.6,0.55
12030044,521,757.3,0.69
12030045,640,12.8,50.04
12030046,410,31.2,13.14
12030047,375,10.2,36.94
12030048,411,5.9,69.74
12030051,580,0.5,1119.38
12030052,526,10.1,52.28
12030053,404,14,28.85
12030054,399,9.3,43.13
12030055,382,7.2,52.75
12030056,753,11.6,65.03
12030057,193,16.5,11.68
12030058,389,94.2,4.13
12030059,376,26.1,14.38
12030060,405,33.2,12.2
12030061,470,10.5,44.67
12030062,498,30.1,16.56
12030063,416,22.5,18.46
12030064,357,30.4,11.74
12030065,482,59.7,8.08
12030066,381,17.6,21.7
12030067,356,8.1,43.8
12030068,376,4.6,81.62
12030069,419,1.5,281.73
12030070,377,2.2,171.75
12030071,448,9.1,49.1
12030072,450,40.3,11.17
12030073,453,56.3,8.04
12030074,587,36.6,16.02
12030075,374,47.2,7.93
12030076,360,28.5,12.63
12030077,501,7.3,68.66
12030078,422,20.7,20.36
12030079,438,19.9,22.04
12030082,141,41.5,3.4
1204,10501,4.4,2393.44
12040025,378,2.8,137.37
12040026,49,10.3,4.74
12040028,359,11.6,30.9
12040029,384,0.5,736.27
12040030,369,2.9,125.92
