DAUID,Population Density per Square Kilometer
1201,5.6
12010030,0.4
12010031,81.1
12010032,566.9
12010033,512.6
12010034,178.8
12010035,17.2
12010036,8.1
12010037,17.5
12010038,4
12010039,1.7
12010040,1.6
12010041,8.6
12010042,163.8
12010043,6.9
12010044,22.9
12010045,31.2
12010046,49
12010047,124.7
12010048,45.2
12010049,67.2
12010050,257.3
12010051,53.6
12010052,41.3
12010053,18.4
12010054,2.8
12010055,205.4
12010056,4.1
1202,11.8
12020043,4
12020044,11.1
12020045,8.9
12020046,23.3
12020047,29.5
12020048,40
12020049,45
12020050,177.8
12020051,116.1
12020052,1232.2
12020053,1322.6
12020054,377.9
12020055,284.2
12020056,2511.5
12020057,1725.9
12020058,1926.4
12020059,1794.3
12020060,1508.7
12020061,492.8
12020062,1232.5
12020063,485.5
12020064,306.9
12020065,29.1
12020066,579
12020067,21.4
12020068,35.7
12020069,37.7
12020070,479.6
12020071,111.1
12020072,25.9
12020073,20.1
12020074,40.9
12020075,185.6
12020076,25.4
12020077,28.5
12020078,22.5
12020079,14.7
12020080,15
12020081,6.1
12020082,22.6
12020083,0.5
12020084,24.7
12020085,88.1
12020086,28.1
12020087,9.8
1203,6.8
12030040,32
12030041,439.6
12030042,602.2
12030043,957.6
12030044,757.3
12030045,12.8
12030046,31.2
12030047,10.2
12030048,5.9
12030051,0.5
12030052,10.1
12030053,14
12030054,9.3
12030055,7.2
12030056,11.6
12030057,16.5
12030058,94.2
12030059,26.1
12030060,33.2
12030061,10.5
12030062,30.1
12030063,22.5
12030064,30.4
12030065,59.7
12030066,17.6
12030067,8.1
12030068,4.6
12030069,1.5
12030070,2.2
12030071,9.1
12030072,40.3
12030073,56.3
12030074,36.6
12030075,47.2
12030076,28.5
12030077,7.3
12030078,20.7
12030079,19.9
12030082,41.5
1204,4.4
12040025,2.8
12040026,10.3
12040028,11.6
12040029,0.5
12040030,2.9
12040031,13.5
12040033,182.5
12040034,57.8
12040035,554.4
12040036,1036.1
12040037,551.1
12040038,172.9
12040039,24.3
12040040,1213
12040041,534.4
12040042,64.4
12040043,19.3
12040044,11.1
12040045,3.4
12040046,12.6
12040047,33
12040048,0.6
12040049,4.9
12040050,254.7
12040051,1.9
12040052,0
12040053,6.1
1205,6.7
12050044,36.5
12050045,424.2
12050046,137.4
12050047,159.2
12050048,49.2
12050049,24
12050050,64
12050051,10.7
12050052,9.6
12050053,339.9
12050054,254.4
12050055,724.8
12050056,32.9
12050057,106.9
12050058,16.9
12050059,27.5
12050060,5.9
12050061,22.3
12050062,4.8
12050063,12
12050064,184.3
12050065,429
12050066,9.9
12050067,12
12050068,6.6
12050069,2.7
12050070,76.2
12050071,268.3
12050072,11.5
12050073,9.4
12050074,41.3
12050075,8.4
12050076,62
12050077,5
12050078,13.8
12050080,0
12050082,0.4
12050083,1.1
12050084,1.3
12050085,37.3
12050086,6.7
12050087,80
12050088,8.3
12050089,17
12050090,0
12050093,17
1206,16.7
12060071,0
12060072,3.6
12060073,67.5
12060074,2.3
12060075,2.1
12060077,13.1
12060078,14.7
12060079,35.2
12060080,13.5
12060081,7
12060082,12.3
12060083,16.1
12060084,39.6
12060085,35
12060087,146
12060088,353.2
12060089,1033.5
12060090,548.7
12060091,696.1
12060092,506.5
12060093,2220.9
12060094,2031.8
12060095,1366.7
12060096,1444.1
12060097,999.1
12060098,1696.9
12060099,1519
12060100,1362.8
12060105,20.3
12060106,17.9
12060107,38.4
12060108,606
12060109,256.8
12060110,1182.1
12060111,1556.6
12060112,1120.9
12060113,41.5
12060114,31.6
12060115,37.2
12060116,19.7
12060118,22.6
12060119,17.6
12060120,16.9
12060124,45.5
12060125,13.2
12060126,88.4
12060128,587.5
12060129,37.3
12060130,15
12060131,7.3
12060132,6.5
12060133,1.8
12060134,3.6
12060135,34.5
12060136,182.7
12060137,84.6
12060138,104.4
12060139,64.3
12060140,29.1
12060141,5.4
12060142,5.9
12060143,35.1
12060144,50.5
12060145,268.3
12060146,298.9
12060147,388.4
12060148,800.5
12060149,7.3
12060150,2.3
12060151,17.1
12060152,176.9
12060153,19.8
12060154,39.8
12060156,277.7
12060157,408.6
12060158,40.5
12060160,88.8
12060161,22.4
12060162,14.9
12060163,25.4
12060166,89.2
12060167,43.2
12060168,20.5
12060169,58.4
12060170,31.8
12060171,38.3
12060172,11.1
12060173,5.5
12060174,58.5
12060176,4.7
12060177,118.1
12060178,15.6
12060179,28.4
12060180,17.9
12060181,44.8
12060182,109.8
12060183,38.3
12060184,3.7
12060185,102.4
12060186,7.1
12060187,18.7
12060188,8.3
12060190,4.4
1207,29.7
12070081,6.5
12070082,22.2
12070083,84
12070084,139.2
12070085,19.3
12070086,52.7
12070087,316.6
12070088,240.4
12070089,63.9
12070090,1387.9
12070091,1482.2
12070092,1467.8
12070093,2084.5
12070094,1751.2
12070095,1370.7
12070096,665.4
12070097,1610.9
12070098,283.5
12070099,208.3
12070100,2226.6
12070101,144.5
12070102,1025.9
12070103,1121.1
12070104,1384.7
12070105,408.8
12070106,1075.2
12070107,879.5
12070108,68.9
12070109,27.4
12070110,89.1
12070111,24.5
12070112,209.3
12070113,208.4
12070114,926.9
12070115,23.6
12070116,178.7
12070117,449.6
12070118,48.4
12070119,172.2
12070120,218
12070121,40.3
12070122,25.5
12070123,10.3
12070124,11.7
12070125,12.3
12070126,21.4
12070127,19.6
12070128,41.9
12070129,170.7
12070130,92.9
12070131,80.1
12070132,1148.6
12070133,14.2
12070134,26
12070135,115.5
12070136,825.5
12070137,992.4
12070138,759.9
12070139,310.2
12070140,30.6
12070141,43.8
12070142,8
12070143,66.4
12070144,4.5
12070145,297.4
12070146,836.7
12070147,182.9
12070148,339.1
12070149,41.5
12070150,3.2
12070151,16.8
12070152,4.8
12070153,27.3
12070154,32
12070155,107.5
12070156,832
12070157,790.9
12070158,387.2
12070159,981.8
12070160,1229.2
12070161,2187.6
12070162,573.1
12070163,24.7
12070164,35.8
12070165,37.6
12070166,47.1
12070167,101.8
12070168,13.6
12070169,64.9
12070170,0
12070171,2.1
12070172,3.1
12070173,4.1
12070174,43.4
12070175,322.1
12070176,1524
12070177,1044.4
12070178,313.5
12070179,734.5
12070180,319.7
12070181,263.3
12070182,981.4
12070183,771.4
12070184,31.2
12070185,769.3
12070186,218.4
12070187,65.7
12070188,31.4
12070189,33.6
12070190,162.5
12070191,67.1
12070192,17.3
12070193,6.7
12070194,10.9
12070195,8.2
1208,14.8
12080056,3.8
12080057,4.6
12080058,588.3
12080059,68.8
12080061,0
12080063,112.3
12080064,320.7
12080065,1092.6
12080069,726.8
12080070,1899
12080071,62.3
12080072,10.6
12080073,575.1
12080074,1259
12080076,7.2
12080077,12.2
12080078,3.5
12080079,8.8
12080080,3.4
12080081,5.9
12080082,11.9
12080083,5.5
12080084,17.7
12080085,22.6
12080086,31.9
12080087,31.8
12080088,3
12080089,33.8
12080090,149.7
12080091,97.2
12080092,120.1
12080093,588.7
12080094,254.4
12080095,2064.7
12080096,2332.6
12080097,220.1
12080098,203.8
12080099,96.2
12080100,93.7
12080101,76
12080102,5.3
12080103,43.6
12080104,448.6
12080105,611.4
12080106,29.4
12080107,3.3
12080108,4.3
12080109,11.9
12080110,13.4
12080111,2.2
12080112,10
12080113,6.9
12080114,15.1
12080115,19
12080116,16.4
12080117,4.9
12080118,7.6
12080119,6.4
12080120,52.2
12080121,25.8
12080122,27
12080123,26
12080127,65.2
12080128,164.1
12080129,920
12080130,1.5
12080131,117
12080132,65.3
12080133,26.6
1209,80.3
12090103,2076.3
12090104,2327.9
12090105,3024.7
12090106,5781.6
12090108,2123.1
12090114,3160.3
12090115,2084.7
12090116,1415.3
12090117,1136.9
12090118,1463.3
12090119,1406.6
12090120,65.6
12090121,1474.8
12090122,1465.5
12090123,298.9
12090128,697.1
12090130,194.9
12090131,2487.7
12090132,5937.5
12090133,3342.5
12090134,2684.2
12090135,3751.2
12090136,2316.8
12090137,2352
12090138,1661.6
12090139,1299.4
12090140,6331.7
12090141,3537.2
12090142,3210.7
12090143,1386.1
12090144,2676.2
12090145,3343.9
12090146,3219.5
12090147,2945.3
12090148,1582
12090149,2602.4
12090150,2024.6
12090152,1727.8
12090153,4664.5
12090154,3936.3
12090158,2239
12090159,2108.8
12090160,1661.2
12090161,920.9
12090162,1044
12090163,2508.2
12090164,4525.5
12090165,1541.5
12090166,2721.6
12090167,2181.6
12090168,5536.2
12090169,3059.3
12090170,3279.9
12090171,3123.4
12090172,4527.6
12090175,2726.5
12090176,4113.8
12090177,5873.9
12090178,6372.4
12090179,2792.9
12090182,2828.7
12090183,3123.6
12090184,2462
12090185,1598.6
12090186,2137.3
12090187,1646.5
12090188,6675.8
12090189,1250.7
12090190,2424.6
12090191,1794.4
12090192,634
12090193,91
12090194,1782.5
12090195,7670.9
12090196,7533.6
12090197,1933.9
12090198,3636.4
12090199,3139.9
12090200,967.1
12090201,2861.4
12090202,2268.9
12090203,2188.1
12090204,1831.4
12090205,4231.3
12090206,3080.6
12090209,3177.4
12090210,4295.8
12090211,3580.9
12090212,3416.7
12090213,6427.7
12090214,4391.3
12090215,7417.4
12090216,6749.1
12090217,9981.1
12090220,2463.6
12090223,2275.6
12090224,3417.5
12090225,4865.8
12090226,4225.2
12090227,3032.5
12090228,4425.2
12090229,4225
12090230,4904.2
12090231,691.8
12090232,1149.3
12090241,4204
12090244,1529
12090245,2671.8
12090246,4860.4
12090247,4922.3
12090248,2490.3
12090249,2475.2
12090250,2423.7
12090251,6273.6
12090252,2377.8
12090253,4011.1
12090254,3701.6
12090255,3870.4
12090256,8955.6
12090259,5557.1
12090260,2515.5
12090261,3752
12090262,3007.3
12090263,1433
12090264,2681.1
12090265,1004.8
12090267,1913
12090270,2889.2
12090271,10100.2
12090272,341.7
12090273,3531.2
12090277,2333.7
12090279,1498.1
12090280,3360.5
12090281,3531.9
12090282,3594.4
12090291,6332.5
12090292,1156.9
12090293,2406.7
12090294,478.9
12090295,1340.5
12090296,17570.2
12090297,22244.2
12090298,16626.9
12090311,6536.2
12090312,7571.4
12090313,6583.2
12090324,3224.3
